description,language
A ENGI ADILANGA MU,Portuguese
"LONGA SE ADILA VA MAKAYA, AY'ADILANGA VA MAKAYA SE ADILA",Portuguese
MU LONGA.,Portuguese
Muitos dos que comem nos pratos comerão cedo ou tarde sobre as folhas e os,Portuguese
que comem sobre as folhas comerão nos pratos.,Portuguese
"Este provérbio ensina-nos que tudo, neste mundo, está sujeito a inúmeras vicissitu-",Portuguese
"des, e que ninguém sabe hoje de que será feito o amanhã, pois que, de um lado,",Portuguese
"segundo Cândido Figuereiro, «nada há seguro na estrada da vida» e que de autro",Portuguese
"lado, «não há bem que sempre dure, nem mal que não acabe».",Portuguese
Beaucoup de ceux qui mangent dans des assiettes mangeront tôt ou tard sur,Portuguese
des feuilles.,Portuguese
"Ce proverbe nous enseigne que, dans cette vie, tout est sujet à de nombreuses",Portuguese
"vicissitudes, que «personne ne sait aujourd'hui de quoi demain sera fait», et que,",Portuguese
"d'une part selon Cândido Figueiredo, «il n'y a rien d'assuré sur la route de la",Portuguese
"vie», et que, d'autre part, «les jours se suivent mais ne se ressemblent pas».",Portuguese
"He who eats in a plate, will sooner or later eat on leaves.",Portuguese
"This saying teaches us that in this life, all is subject to many vicissitudes for, on the",Portuguese
"one hand and according to Cândido Figueiredo., «there is nothing secure in the",Portuguese
"road of life», and on the other hand, no one knows for sure what tomorrow holds.",Portuguese
"A ENGI AVWANDANGA VA KYANDU, SE AVWANDA VA NTOTO,",Portuguese
AVWANDANGA VA NTOTO SE AVWANDA VA KYANDU (KYANDI) cf. prov.1).,Portuguese
"Muitos dos que se assentam nas cadeiras, assentar-se-ão no chão; e os que",Portuguese
estão sentados no chão assentar-se-ão nas cadeiras.,Portuguese
"Este provérbio, como o primeiro, significa que neste mundo tudo pode",Portuguese
"mudar, pois «nada na vida é permanente», a Bíblia declara:",Portuguese
"«Bem-aventurados vós, que agora tendes fome, porque sereis fartos»,",Portuguese
"«Bem-aventurados vós, que agora chorais, pois haveis de rir» (Lucas 6:21), e para",Portuguese
os outros: .,Portuguese
"«Ai de vós, Os que estais fartos, porque tereis fome».",Portuguese
"«Ai de vós, os que agora rides, porque vos lamentareis e chorareis» (Lucas 6:25).",Portuguese
"Daí, «até ao lavar dos cestos é vindima».",Portuguese
Beaucoup de ceux qui sassoient sur des chaises s'asseyeront par terre; et ceux,Portuguese
qui sont assis par terre s'assoiront sur des chaises.,Portuguese
"Ce proverbe, comme le précédent, signifie que dans ce monde tout change, car",Portuguese
"dans la vie iln'y a rien de permanent, comme le déclare la Bible en ces termes:",Portuguese
"«Heureux vous qui avez faim maintenant, car vous serez rassasiés!»",Portuguese
"«Heureux vous qui pleurez maintenant, car vous serez dans la joie!» (Luc 6:25),",Portuguese
et aux autres:,Portuguese
"«Malheur à vous qui étes rassasiés, car vous aurez faim.",Portuguese
29,Portuguese
